question,player,stat,line,liquidity,volume,yes_won,end_date
Onyeka Okongwu: Assists O/U 0.5,Onyeka Okongwu,Assists,0.5,0.0,120.9899,True,2026-04-30T04:00:00+00:00
Jalen Brunson: Points O/U 27.5,Jalen Brunson,Points,27.5,0.0,1125.7620610000001,False,2026-04-30T04:00:00+00:00
Jalen Johnson: Points O/U 19.5,Jalen Johnson,Points,19.5,0.0,867.696259,True,2026-04-30T04:00:00+00:00
Karl-Anthony Towns: Points O/U 18.5,Karl-Anthony Towns,Points,18.5,0.0,536.1199710000002,False,2026-04-30T04:00:00+00:00
OG Anunoby: Points O/U 15.5,OG Anunoby,Points,15.5,0.0,595.7013010000001,True,2026-04-30T04:00:00+00:00
Josh Hart: Points O/U 11.5,Josh Hart,Points,11.5,0.0,2428.512023,True,2026-04-30T04:00:00+00:00
Mikal Bridges: Points O/U 8.5,Mikal Bridges,Points,8.5,0.0,305.53363099999996,True,2026-04-30T04:00:00+00:00
Karl-Anthony Towns: Rebounds O/U 12.5,Karl-Anthony Towns,Rebounds,12.5,0.0,71.771494,False,2026-04-30T04:00:00+00:00
Jalen Johnson: Rebounds O/U 9.5,Jalen Johnson,Rebounds,9.5,0.0,71.51762,False,2026-04-30T04:00:00+00:00
Josh Hart: Rebounds O/U 8.5,Josh Hart,Rebounds,8.5,0.0,1984.9942819999999,False,2026-04-30T04:00:00+00:00
OG Anunoby: Rebounds O/U 6.5,OG Anunoby,Rebounds,6.5,0.0,1564.3720480000002,True,2026-04-30T04:00:00+00:00
Jalen Brunson: Rebounds O/U 3.5,Jalen Brunson,Rebounds,3.5,0.0,127.68665100000001,False,2026-04-30T04:00:00+00:00
Mikal Bridges: Rebounds O/U 2.5,Mikal Bridges,Rebounds,2.5,0.0,147.954939,True,2026-04-30T04:00:00+00:00
Jalen Brunson: Assists O/U 6.5,Jalen Brunson,Assists,6.5,0.0,223.689485,True,2026-04-30T04:00:00+00:00
Jalen Johnson: Assists O/U 5.5,Jalen Johnson,Assists,5.5,0.0,426.03291199999995,True,2026-04-30T04:00:00+00:00
Josh Hart: Assists O/U 4.5,Josh Hart,Assists,4.5,0.0,1819.435104,False,2026-04-30T04:00:00+00:00
Karl-Anthony Towns: Assists O/U 3.5,Karl-Anthony Towns,Assists,3.5,0.0,1509.9544210000001,True,2026-04-30T04:00:00+00:00
Mikal Bridges: Assists O/U 1.5,Mikal Bridges,Assists,1.5,0.0,165.343302,True,2026-04-30T04:00:00+00:00
OG Anunoby: Rebounds O/U 7.5,OG Anunoby,Rebounds,7.5,0.0,2138.289351,False,2026-04-30T04:00:00+00:00
Jamal Murray: Points O/U 25.5,Jamal Murray,Points,25.5,0.0,400.083763,False,2026-04-30T04:00:00+00:00
Ayo Dosunmu: Points O/U 19.5,Ayo Dosunmu,Points,19.5,0.0,7396.942029,False,2026-04-30T04:00:00+00:00
Christian Braun: Points O/U 10.5,Christian Braun,Points,10.5,0.0,262.50541000000004,False,2026-04-30T04:00:00+00:00
Cameron Johnson: Points O/U 10.5,Cameron Johnson,Points,10.5,0.0,2089.271908,True,2026-04-30T04:00:00+00:00
Rudy Gobert: Points O/U 9.5,Rudy Gobert,Points,9.5,0.0,707.029288,True,2026-04-30T04:00:00+00:00
Rudy Gobert: Rebounds O/U 10.5,Rudy Gobert,Rebounds,10.5,0.0,384.537922,True,2026-04-30T04:00:00+00:00
Jamal Murray: Rebounds O/U 4.5,Jamal Murray,Rebounds,4.5,0.0,129.912267,True,2026-04-30T04:00:00+00:00
Christian Braun: Rebounds O/U 4.5,Christian Braun,Rebounds,4.5,0.0,64.39,False,2026-04-30T04:00:00+00:00
Ayo Dosunmu: Rebounds O/U 4.5,Ayo Dosunmu,Rebounds,4.5,0.0,2649.013378,False,2026-04-30T04:00:00+00:00
Cameron Johnson: Rebounds O/U 3.5,Cameron Johnson,Rebounds,3.5,0.0,420.551271,True,2026-04-30T04:00:00+00:00
Jamal Murray: Assists O/U 6.5,Jamal Murray,Assists,6.5,0.0,135.561955,False,2026-04-30T04:00:00+00:00
Ayo Dosunmu: Assists O/U 4.5,Ayo Dosunmu,Assists,4.5,0.0,1760.6852740000002,False,2026-04-30T04:00:00+00:00
Christian Braun: Assists O/U 2.5,Christian Braun,Assists,2.5,0.0,110.0,False,2026-04-30T04:00:00+00:00
Cameron Johnson: Assists O/U 2.5,Cameron Johnson,Assists,2.5,0.0,81.582247,True,2026-04-30T04:00:00+00:00
Rudy Gobert: Assists O/U 1.5,Rudy Gobert,Assists,1.5,0.0,150.907765,True,2026-04-30T04:00:00+00:00
Julius Randle: Points O/U 4.5,Julius Randle,Points,4.5,0.0,461.7631,True,2026-04-30T04:00:00+00:00
Jaden McDaniels: Points O/U 4.5,Jaden McDaniels,Points,4.5,0.0,134.632033,True,2026-04-30T04:00:00+00:00
Aaron Gordon: Points O/U 2.5,Aaron Gordon,Points,2.5,0.0,290.94,False,2026-04-30T04:00:00+00:00
Mike Conley: Points O/U 0.5,Mike Conley,Points,0.5,0.0,50.0,True,2026-04-30T04:00:00+00:00
Julius Randle: Rebounds O/U 1.5,Julius Randle,Rebounds,1.5,0.0,252.3416,True,2026-04-30T04:00:00+00:00
Aaron Gordon: Rebounds O/U 1.5,Aaron Gordon,Rebounds,1.5,0.0,687.5,False,2026-04-30T04:00:00+00:00
Jaden McDaniels: Rebounds O/U 1.5,Jaden McDaniels,Rebounds,1.5,0.0,104.9949,True,2026-04-30T04:00:00+00:00
Mike Conley: Rebounds O/U 0.5,Mike Conley,Rebounds,0.5,0.0,85.0,True,2026-04-30T04:00:00+00:00
Mike Conley: Assists O/U 1.5,Mike Conley,Assists,1.5,0.0,134.48590000000002,True,2026-04-30T04:00:00+00:00
Jaden McDaniels: Assists O/U 0.5,Jaden McDaniels,Assists,0.5,0.0,99.9859,True,2026-04-30T04:00:00+00:00
Julius Randle: Assists O/U 0.5,Julius Randle,Assists,0.5,0.0,196.39812799999999,True,2026-04-30T04:00:00+00:00
Aaron Gordon: Assists O/U 0.5,Aaron Gordon,Assists,0.5,0.0,242.48,False,2026-04-30T04:00:00+00:00
Neemias Queta: Points O/U 2.5,Neemias Queta,Points,2.5,0.0,99.9949,True,2026-04-30T04:00:00+00:00
Kelly Oubre Jr.: Points O/U 2.5,Kelly Oubre Jr.,Points,2.5,0.0,100.0,True,2026-04-30T04:00:00+00:00
VJ Edgecombe: Points O/U 2.5,VJ Edgecombe,Points,2.5,0.0,148.266365,True,2026-04-30T04:00:00+00:00
Sam Hauser: Points O/U 0.5,Sam Hauser,Points,0.5,0.0,184.985,True,2026-04-30T04:00:00+00:00
VJ Edgecombe: Rebounds O/U 1.5,VJ Edgecombe,Rebounds,1.5,0.0,153.32359999999997,True,2026-04-30T04:00:00+00:00
Kelly Oubre Jr.: Rebounds O/U 1.5,Kelly Oubre Jr.,Rebounds,1.5,0.0,139.37891000000002,True,2026-04-30T04:00:00+00:00
Neemias Queta: Rebounds O/U 1.5,Neemias Queta,Rebounds,1.5,0.0,138.94951600000002,True,2026-04-30T04:00:00+00:00
Sam Hauser: Rebounds O/U 0.5,Sam Hauser,Rebounds,0.5,0.0,100.0,True,2026-04-30T04:00:00+00:00
Neemias Queta: Assists O/U 0.5,Neemias Queta,Assists,0.5,0.0,101.403348,False,2026-04-30T04:00:00+00:00
Kelly Oubre Jr.: Assists O/U 0.5,Kelly Oubre Jr.,Assists,0.5,0.0,106.770265,True,2026-04-30T04:00:00+00:00
Sam Hauser: Assists O/U 0.5,Sam Hauser,Assists,0.5,0.0,174.98489999999998,True,2026-04-30T04:00:00+00:00
VJ Edgecombe: Assists O/U 0.5,VJ Edgecombe,Assists,0.5,0.0,61.333566,True,2026-04-30T04:00:00+00:00
Joel Embiid: Points O/U 28.5,Joel Embiid,Points,28.5,0.0,1873.0210169999998,False,2026-04-30T04:00:00+00:00
Jaylen Brown: Points O/U 25.5,Jaylen Brown,Points,25.5,0.0,216.87259,False,2026-04-30T04:00:00+00:00
Jayson Tatum: Points O/U 24.5,Jayson Tatum,Points,24.5,0.0,771.848915,False,2026-04-30T04:00:00+00:00
Tyrese Maxey: Points O/U 24.5,Tyrese Maxey,Points,24.5,0.0,767.6415890000001,True,2026-04-30T04:00:00+00:00
Paul George: Points O/U 15.5,Paul George,Points,15.5,0.0,2122.553097,True,2026-04-30T04:00:00+00:00
Derrick White: Points O/U 11.5,Derrick White,Points,11.5,0.0,774.1265729999999,False,2026-04-30T04:00:00+00:00
Jayson Tatum: Rebounds O/U 10.5,Jayson Tatum,Rebounds,10.5,0.0,578.305627,True,2026-04-30T04:00:00+00:00
Joel Embiid: Rebounds O/U 8.5,Joel Embiid,Rebounds,8.5,0.0,311.473502,True,2026-04-30T04:00:00+00:00
